"Index","Value"
2017-06-03 05:35:00,100.62812425
2017-06-03 05:45:00,100.63065525
2017-06-03 05:55:00,100.6288475
2017-06-03 06:05:00,100.61213795
2017-06-03 06:15:00,100.6049765
2017-06-03 06:25:00,100.593401
2017-06-03 06:35:00,100.57611575
2017-06-03 06:45:00,100.5601275
2017-06-03 06:55:00,100.53321745
2017-06-03 07:05:00,100.5107925
2017-06-03 07:15:00,100.48344715
2017-06-03 07:25:00,100.45125575
2017-06-03 07:35:00,100.41516075
2017-06-03 07:45:00,100.3720472
2017-06-03 07:55:00,100.3367455
2017-06-03 08:05:00,100.2962378
2017-06-03 08:15:00,100.24220075
2017-06-03 08:25:00,100.17941175
2017-06-03 08:35:00,100.1362266
2017-06-03 08:45:00,100.07473845
2017-06-03 08:55:00,100.01903725
2017-06-03 09:05:00,99.9450383
2017-06-03 09:15:00,99.87588195
2017-06-03 09:25:00,99.80752375
2017-06-03 09:35:00,99.746685
2017-06-03 09:45:00,99.689539
2017-06-03 09:55:00,99.6382515
2017-06-03 10:05:00,99.58573375
2017-06-03 10:15:00,99.5284423
2017-06-03 10:25:00,99.4739705
2017-06-03 10:35:00,99.42586525
2017-06-03 10:45:00,99.39013095
2017-06-03 10:55:00,99.34014525
2017-06-03 11:05:00,99.3108503
2017-06-03 11:15:00,99.2646981
2017-06-03 11:25:00,99.23561875
2017-06-03 11:35:00,99.20704475
2017-06-03 11:45:00,99.1829566
2017-06-03 11:55:00,99.17449375
2017-06-03 12:05:00,99.1609682
2017-06-03 12:15:00,99.14599275
2017-06-03 12:25:00,99.14693455
2017-06-03 12:35:00,99.1415805
2017-06-03 12:45:00,99.146282
2017-06-03 12:55:00,99.1531525
2017-06-03 13:05:00,99.15930175
2017-06-03 13:15:00,99.16292
2017-06-03 13:25:00,99.173769
2017-06-03 13:35:00,99.19944975
2017-06-03 13:45:00,99.22440525
2017-06-03 13:55:00,99.25189425
2017-06-03 14:05:00,99.2828553
2017-06-03 14:15:00,99.3167804
2017-06-03 14:25:00,99.3609079
2017-06-03 14:35:00,99.40452835
2017-06-03 14:45:00,99.44540025
2017-06-03 14:55:00,99.49495125
2017-06-03 15:05:00,99.5418971
2017-06-03 15:15:00,99.60128775
2017-06-03 15:25:00,99.65156175
2017-06-03 15:35:00,99.702921
2017-06-03 15:45:00,99.7675189
2017-06-03 15:55:00,99.82661825
2017-06-03 16:05:00,99.869803
2017-06-03 16:15:00,99.946699
2017-06-03 16:25:00,100.0060173
2017-06-03 16:35:00,100.07256815
2017-06-03 16:45:00,100.140566
2017-06-03 16:55:00,100.2067565
2017-06-03 17:05:00,100.2545714
2017-06-03 17:15:00,100.30441125
2017-06-03 17:25:00,100.34275085
2017-06-03 17:35:00,100.3915779
2017-06-03 17:45:00,100.43129325
2017-06-03 17:55:00,100.470789
2017-06-03 18:05:00,100.5011002
2017-06-03 18:15:00,100.529745
2017-06-03 18:25:00,100.56880555
2017-06-03 18:35:00,100.58110425
2017-06-03 18:45:00,100.59795795
2017-06-03 18:55:00,100.607147
2017-06-03 19:05:00,100.6224094
2017-06-03 19:15:00,100.63260905
2017-06-03 19:25:00,100.6262415
2017-06-03 19:35:00,100.62255445
2017-06-03 19:45:00,100.60707485
2017-06-03 19:55:00,100.59506555
2017-06-03 20:05:00,100.5865298
2017-06-03 20:15:00,100.566637
2017-06-03 20:25:00,100.54312525
2017-06-03 20:35:00,100.52034175
2017-06-03 20:45:00,100.4919124
2017-06-03 20:55:00,100.45849215
2017-06-03 21:05:00,100.428835
2017-06-03 21:15:00,100.39244565
2017-06-03 21:25:00,100.35866525
2017-06-03 21:35:00,100.31345375
2017-06-03 21:45:00,100.2714995
2017-06-03 21:55:00,100.2393075
2017-06-03 22:05:00,100.1871504
2017-06-03 22:15:00,100.14924625
2017-06-03 22:25:00,100.10367425
2017-06-03 22:35:00,100.03857025
2017-06-03 22:45:00,99.99661275
2017-06-03 22:55:00,99.9528485
2017-06-03 23:05:00,99.9058285
2017-06-03 23:15:00,99.86843105
2017-06-03 23:25:00,99.8360937
2017-06-03 23:35:00,99.80781
2017-06-03 23:45:00,99.7665788
2017-06-03 23:55:00,99.7394527
2017-06-04 00:05:00,99.71268685
2017-06-04 00:15:00,99.6894677
2017-06-04 00:25:00,99.6716723
2017-06-04 00:35:00,99.64396675
2017-06-04 00:45:00,99.6386139
2017-06-04 00:55:00,99.62971455
2017-06-04 01:05:00,99.61271565
2017-06-04 01:15:00,99.6084498
2017-06-04 01:25:00,99.6049023
2017-06-04 01:35:00,99.59984025
2017-06-04 01:45:00,99.60418125
2017-06-04 01:55:00,99.60338515
2017-06-04 02:05:00,99.61495785
2017-06-04 02:15:00,99.62154025
2017-06-04 02:25:00,99.6375763888889
2017-06-04 02:35:00,99.6460634
2017-06-04 02:45:00,99.66566625
2017-06-04 02:55:00,99.6938055
2017-06-04 03:05:00,99.71869195
